,Date,Content,Cleaned Text,Result
0,2022-07-19 14:54:04+00:00,$JASMY still can buy here!,$JASMY still can buy here!,['1']
0,2022-07-19 14:53:04+00:00,$SOL ✅,$SOL ✅,['1']
0,2022-07-19 14:35:38+00:00,$QI major breakout is here!,$QI major breakout is here!,['1']
0,2022-07-19 13:21:45+00:00,$CLV getting ready 👌🏻,$CLV getting ready 👌🏻,['1']
0,2022-07-19 13:20:33+00:00,"$OGN is on the way to $0,3  👀🚀","$OGN is on the way to $0,3  👀🚀",['1']
0,2022-07-19 13:12:12+00:00,$FIL is a buy.,$FIL is a buy.,['1']
0,2022-07-19 13:05:41+00:00,Buying $QI here!,Buying $QI here!,['1']
0,2022-07-19 13:03:15+00:00,$CHR +13% so far!,$CHR +13% so far!,['1']
0,2022-07-19 13:02:44+00:00,$DOT +15% so far!,$DOT +15% so far!,['1']
0,2022-07-19 12:58:42+00:00,$OGN starting to move up. Do not miss it 🚀😎,$OGN starting to move up. Do not miss it 🚀😎,['1']
0,2022-07-19 10:44:37+00:00,$OGN breakout on LTF,$OGN breakout on LTF,['2']
0,2022-07-19 10:18:36+00:00,,,['1']
0,2022-07-19 09:06:07+00:00,Shitcoins are getting wild in the market so $CLV is expected to see a big move in coming hours/daysWorth buying here while its still cheap.,Shitcoins are getting wild in the market so $CLV is expected to see a big move in coming hours/daysWorth buying here while its still cheap.,['1']
0,2022-07-19 08:59:08+00:00,$ETH 😎,$ETH 😎,['1']
0,2022-07-19 08:47:44+00:00,"If you missed the $GALA first entry, now buy.","If you missed the $GALA first entry, now buy.",['1']
0,2022-07-19 08:04:56+00:00,"2022 has seen #Bitcoin markets weather two enormous capitulation events, both with the largest $BTC transfer volume in loss since 2011.When LUNA collapsed, the total transfer volume in loss was 538k $BTC.This was followed by 480k $BTC as the market traded below the 2017 ATH.","2022 has seen #Bitcoin markets weather two enormous capitulation events, both with the largest $BTC transfer volume in loss since 2011.When LUNA collapsed, the total transfer volume in loss was 538k $BTC.This was followed by 480k $BTC as the market traded below the 2017 ATH.",['1']
0,2022-07-18 17:36:07+00:00,$CLV buy setup.,$CLV buy setup.,['1']
0,2022-07-18 16:53:06+00:00,The $OGN dip is for buying.,The $OGN dip is for buying.,['1']
