,Date,Content,Cleaned Text,Result
0,2022-07-20 10:52:35+00:00,$SKL already +20%,"['skl', 'already', '20']",['2']
1,2022-07-20 07:38:22+00:00,#Bitcoin ✅,"['bitcoin', '✅']",['2']
2,2022-07-20 07:34:41+00:00,Buying more $OGN here as well.,"['buying', 'ogn', 'well']",['1']
3,2022-07-20 07:30:37+00:00,$BAND still can buy!,"['band', 'still', 'buy']",['1']
4,2022-07-19 21:57:02+00:00,$BAND buying here!,"['band', 'buying', 'here']",['1']
5,2022-07-19 21:42:50+00:00,$JASMY just getting started!,"['jasmy', 'getting', 'started']",['1']
6,2022-07-19 20:06:12+00:00,$INJ pump soon and you are still have sometimes to buy it.,"['inj', 'pump', 'soon', 'still', 'sometimes', 'buy', 'it']",['1']
7,2022-07-19 19:27:18+00:00,$FIL time to go up 👀,"['fil', 'time', 'go', '👀']",['1']
8,2022-07-19 14:53:04+00:00,$SOL ✅,"['sol', '✅']",['2']
9,2022-07-19 14:35:38+00:00,$QI major breakout is here!,"['qi', 'major', 'breakout', 'here']",['1']
10,2022-07-19 13:21:45+00:00,$CLV getting ready 👌🏻,"['clv', 'getting', 'ready', '👌🏻']",['1']
11,2022-07-19 13:12:12+00:00,$FIL is a buy.,"['fil', 'buy']",['1']
12,2022-07-19 13:05:41+00:00,Buying $QI here!,"['buying', 'qi', 'here']",['1']
13,2022-07-19 13:03:15+00:00,$CHR +13% so far!,"['chr', '13', 'far']",['2']
14,2022-07-19 13:02:44+00:00,$DOT +15% so far!,"['dot', '15', 'far']",['2']
15,2022-07-19 10:44:37+00:00,$OGN breakout on LTF,"['ogn', 'breakout', 'ltf']",['1']
16,2022-07-19 10:18:36+00:00,,,['1']
17,2022-07-19 09:06:07+00:00,Shitcoins are getting wild in the market so $CLV is expected to see a big move in coming hours/daysWorth buying here while its still cheap.,"['shitcoins', 'getting', 'wild', 'market', 'clv', 'expected', 'see', 'big', 'move', 'coming', 'hoursdaysworth', 'buying', 'still', 'cheap']",['1']
18,2022-07-19 08:59:08+00:00,$ETH 😎,"['eth', '😎']",['2']
19,2022-07-19 08:04:56+00:00,"2022 has seen #Bitcoin markets weather two enormous capitulation events, both with the largest $BTC transfer volume in loss since 2011.When LUNA collapsed, the total transfer volume in loss was 538k $BTC.This was followed by 480k $BTC as the market traded below the 2017 ATH.","['2022', 'seen', 'bitcoin', 'market', 'weather', 'two', 'enormous', 'capitulation', 'event', 'largest', 'btc', 'transfer', 'volume', 'loss', 'since', '2011when', 'luna', 'collapsed', 'total', 'transfer', 'volume', 'loss', '538k', 'btcthis', 'followed', '480k', 'btc', 'market', 'traded', '2017', 'ath']",['2']
20,2022-07-18 17:36:07+00:00,$CLV buy setup.,"['clv', 'buy', 'setup']",['1']
21,2022-07-18 16:53:06+00:00,The $OGN dip is for buying.,"['ogn', 'dip', 'buying']",['1']
22,2022-07-18 16:06:42+00:00,#Bitcoin triangle breakout 🔥,"['bitcoin', 'triangle', 'breakout', '🔥']",['1']
23,2022-07-18 13:27:49+00:00,Buying $OGN here as well.,"['buying', 'ogn', 'well']",['1']
24,2022-07-18 11:42:30+00:00,Buying some $GALA here!,"['buying', 'gala', 'here']",['1']
25,2022-07-18 10:26:53+00:00,$TRB +74%,"['trb', '74']",['1']
26,2022-07-18 08:36:51+00:00,$JASMY will be double one day.,"['jasmy', 'double', 'one', 'day']",['1']
27,2022-07-18 08:33:55+00:00,$OP already +40% from entry. Patience pay off!,"['op', 'already', '40', 'entry', 'patience', 'pay', 'off']",['2']
28,2022-07-18 08:33:12+00:00,#Bitcoin ascending triangle is playing out!,"['bitcoin', 'ascending', 'triangle', 'playing', 'out']",['1']
29,2022-07-18 08:16:37+00:00,$DOT soon hit target 😎,"['dot', 'soon', 'hit', 'target', '😎']",['1']
30,2022-07-18 07:29:28+00:00,$OOKI 👍,"['ooki', '👍']",['2']
31,2022-07-17 19:12:02+00:00,$JASMY I think it gonna pump soon!,"['jasmy', 'think', 'gonna', 'pump', 'soon']",['1']
32,2022-07-17 17:44:14+00:00,$INJ still can buy.,"['inj', 'still', 'buy']",['1']
33,2022-07-17 13:05:15+00:00,#C98,['c98'],['2']
34,2022-07-17 12:13:00+00:00,$CHR dip is for buying.,"['chr', 'dip', 'buying']",['1']
35,2022-07-17 10:04:01+00:00,"Get Alan Walker NFTs with real value from CoriteWe’re part of the Alan Walker #Origins NFT scavenger hunt, where fans will reveal music videos and share the revenue from Alan Walker’s official YouTube channel! Use my unique code to unlock your piece!Code: By3Dhttps://corite.com/origins","['get', 'alan', 'walker', 'nfts', 'real', 'value', 'coritewe’re', 'part', 'alan', 'walker', 'origin', 'nft', 'scavenger', 'hunt', 'fan', 'reveal', 'music', 'video', 'share', 'revenue', 'alan', 'walker’s', 'official', 'youtube', 'channel', 'use', 'unique', 'code', 'unlock', 'piececode', 'by3dhttpscoritecomorigins']",['2']
36,2022-07-17 09:25:46+00:00,Buying some $CHR here!,"['buying', 'chr', 'here']",['1']
37,2022-07-17 07:44:10+00:00,Will $ETH starts an alt-season?,"['eth', 'start', 'altseason']",['2']
38,2022-07-17 06:58:42+00:00,$SKL is on the move 🔥,"['skl', 'move', '🔥']",['1']
39,2022-07-17 06:53:53+00:00,$DOT clear breakout 🚀,"['dot', 'clear', 'breakout', '🚀']",['1']
40,2022-07-16 08:31:33+00:00,Buying more $SKL at this current price.,"['buying', 'skl', 'current', 'price']",['1']
41,2022-07-16 08:19:09+00:00,$INJ is a buy.,"['inj', 'buy']",['1']
42,2022-07-16 06:50:10+00:00,Buying some $FET here!,"['buying', 'fet', 'here']",['1']
43,2022-07-15 09:50:15+00:00,$SKL/BTC breaking out as well. Probably it's the next $NKN,"['sklbtc', 'breaking', 'well', 'probably', 'next', 'nkn']",['1']
44,2022-07-15 09:27:27+00:00,Keep an eye on $DOT,"['keep', 'eye', 'dot']",['2']
45,2022-07-15 09:16:41+00:00,$SKL about to go wild 👀,"['skl', 'go', 'wild', '👀']",['1']
46,2022-07-15 07:29:41+00:00,#BitcoinWe're probably range around 20k at least for month or so,"['bitcoinwere', 'probably', 'range', 'around', '20k', 'least', 'month']",['2']
47,2022-07-14 14:43:02+00:00,Bitcoin’s correlation with the U.S. Dollar is falling.,"['bitcoin’s', 'correlation', 'u', 'dollar', 'falling']",['2']
48,2022-07-14 13:33:03+00:00,Binance NFT Launches “Alan Walker Origins” NFT Collection: Share the Revenue from the Music Video Streaming on YouTube! https://www.binance.com/en/support/announcement/b17c7ed8a6a64e5f9c2a3ad9821772b1,"['binance', 'nft', 'launch', '“alan', 'walker', 'origins”', 'nft', 'collection', 'share', 'revenue', 'music', 'video', 'streaming', 'youtube', 'httpswwwbinancecomensupportannouncementb17c7ed8a6a64e5f9c2a3ad9821772b1']",['2']
49,2022-07-12 08:10:37+00:00,#Bitcoin price is on the verge of the breakout. Take care of it.,"['bitcoin', 'price', 'verge', 'breakout', 'take', 'care', 'it']",['1']
50,2022-07-11 16:53:23+00:00,"Total $ETH deposited in the 2.0 contract has surpassed 13M #ETH, which is 10.9% of the circulating supply.","['total', 'eth', 'deposited', '20', 'contract', 'surpassed', '13m', 'eth', '109', 'circulating', 'supply']",['2']
51,2022-07-10 12:43:52+00:00,$JASMY finally boomed 🔥,"['jasmy', 'finally', 'boomed', '🔥']",['2']
52,2022-07-09 12:19:59+00:00,#Bitcoin is holding the $20k level. Increase in stablecoin market cap share suggested an oversold #BTC on a daily timeframe.Significant liquidity is sitting on the sidelines. It is a matter of when (FOMC) and not if capital is redeployed.,"['bitcoin', 'holding', '20k', 'level', 'increase', 'stablecoin', 'market', 'cap', 'share', 'suggested', 'oversold', 'btc', 'daily', 'timeframesignificant', 'liquidity', 'sitting', 'sideline', 'matter', 'fomc', 'capital', 'redeployed']",['2']
