,Datetime,Username,Coin,Prediction,Text,Cleaned Text
0,2022-07-11 11:16:13+00:00,Biconomy_Global,POWR,1,"#BiconomyExchange Market Stat 🚀🚀🚀
🔥Gainers:
@unifiprotocol
@TrustWallet
@PowerLedger_io
@Chiliz
@ArweaveTeam
😉Losers:
@Stepnofficial
@enjin
@apecoin
@decentraland
@PlayCoin_PLY

#UNFI #TWT #POWR #CHZ #AR #GMT #ENJ #APE #MANA #PLY #BICONOMY #CRYPTO #BITTOKEN #NFT #WEB3 https://t.co/97sBixf1JT","['biconomyexchange', 'market', 'stat', '🚀🚀🚀', '🔥gainers', 'unifiprotocol', 'trustwallet', 'powerledgerio', 'chiliz', 'arweaveteam', '😉losers', 'stepnofficial', 'enjin', 'apecoin', 'decentraland', 'playcoinply', 'unfi', 'twt', 'powr', 'chz', 'ar', 'gmt', 'enj', 'ape', 'mana', 'ply', 'biconomy', 'crypto', 'bittoken', 'nft', 'web3', 'httpstco97sbixf1jt']"
1,2022-07-10 01:44:42+00:00,Brianne16406763,POWR,1,🌪🎯 $AMP The volume cant be ignored though could do another week of huge #POWR,"['🌪🎯', 'amp', 'volume', 'cant', 'ignored', 'though', 'could', 'another', 'week', 'huge', 'powr']"
2,2022-07-11 19:00:31+00:00,qassim_azizi,TVK,1,"Looks like $KARA is starting to fly 🚀🚀
.
#kara #mswap #tvk #upo #Bitcoin #KuCoin #TARA https://t.co/jvb09ctLz1","['look', 'like', 'kara', 'starting', 'fly', '🚀🚀', 'kara', 'mswap', 'tvk', 'upo', 'bitcoin', 'kucoin', 'tara', 'httpstcojvb09ctlz1']"
3,2022-07-11 18:13:49+00:00,Whale_Sniper,TVK,1,"Binance - BTC Market
#TVK - Unusual buying activity
5.71 BTC in 5 minutes (38%)
P: 0.00000250 ❇️ (14.16%)
24H Vol: 20.48 BTC","['binance', 'btc', 'market', 'tvk', 'unusual', 'buying', 'activity', '571', 'btc', '5', 'minute', '38', 'p', '000000250', '❇️', '1416', '24h', 'vol', '2048', 'btc']"
4,2022-07-11 19:21:25+00:00,CryptoApprent1c,TVK,1,"Why is #tvk 🚀?
Only this morning, I had wished for this!
Must be my lucky day as won a great raffle prize at work!!
I could have wished for …….
only if I knew!","['tvk', '🚀', 'morning', 'wished', 'this', 'must', 'lucky', 'day', 'great', 'raffle', 'prize', 'work', 'could', 'wished', '……', 'knew']"
5,2022-07-11 20:03:13+00:00,AndrewGriUK,TVK,1,"♥ SIGNAL #TVK #TVKUSDT :

▶ Buy At or Under 0.0543

✌Target1= 0.0547

✌Target2= 0.0555

✌Target3= 0.0563

⛔ Stop Loss= 0.0533

⚠ Very optimistic about this!

Buy when others sell 🤑

#SPOT #Money #BTC

Take part of our wonderful family now, PM ME! https://t.co/eK8LtptZ7Z","['♥', 'signal', 'tvk', 'tvkusdt', '▶', 'buy', '00543', '✌target1', '00547', '✌target2', '00555', '✌target3', '00563', '⛔', 'stop', 'loss', '00533', '⚠', 'optimistic', 'this', 'buy', 'others', 'sell', '🤑', 'spot', 'money', 'btc', 'take', 'part', 'wonderful', 'family', 'now', 'pm', 'me', 'httpstcoek8ltptz7z']"
6,2022-07-07 06:07:02+00:00,TehLamboX,TVK,1,"$TVK #tvk #tvkusdt

already tested 0.07$ once, almost 35% move from the level we first mentioned!
The big breakout now waits https://t.co/Sc1voBmkYY","['tvk', 'tvk', 'tvkusdt', 'already', 'tested', '007', 'once', 'almost', '35', 'move', 'level', 'first', 'mentioned', 'big', 'breakout', 'wait', 'httpstcosc1vobmkyy']"
7,2022-07-11 18:07:44+00:00,CapitalTA,TVK,1,"$TVK on the recovery path again, may target previous high again.
https://t.co/wIQxcGGnOv

#TVK #TVKUSDT #BTC $BTC #ETH https://t.co/PBoMoxSHLo","['tvk', 'recovery', 'path', 'again', 'may', 'target', 'previous', 'high', 'again', 'httpstcowiqxcggnov', 'tvk', 'tvkusdt', 'btc', 'btc', 'eth', 'httpstcopbomoxshlo']"
8,2022-07-11 20:24:11+00:00,crypto_whispers,TVK,1,"Top 5 noticeable movers:

#CVP #BOND #ELF #PERP #TVK 

🔴 $CVP $0.331 (-16.20%)
🟢 $BOND $3.26 (13.19%)
🟢 $ELF $0.266 (20.04%)
🟢 $PERP $0.889 (21.95%)
🟢 $TVK $0.0552 (28.67%)

Do you #hodl any of these coins?","['top', '5', 'noticeable', 'mover', 'cvp', 'bond', 'elf', 'perp', 'tvk', '🔴', 'cvp', '0331', '1620', '🟢', 'bond', '326', '1319', '🟢', 'elf', '0266', '2004', '🟢', 'perp', '0889', '2195', '🟢', 'tvk', '00552', '2867', 'hodl', 'coin']"
9,2022-07-11 03:05:36+00:00,youngmoney2696,TVK,1,"#TVK
Buy theo fibo 0.236 0.039
Target 10-20%
Stl 10% https://t.co/jKMtrvLs6o","['tvk', 'buy', 'theo', 'fibo', '0236', '0039', 'target', '1020', 'stl', '10', 'httpstcojkmtrvls6o']"
10,2022-07-11 18:23:48+00:00,CapitalTA,TVK,1,"#TVK as expected bounced from the neckline support, met initial target zone to get us 25% gain.

Booked partially, and rest on hold for 0.065 target area.
https://t.co/wIQxcGGnOv Join our telegram
$TVK #TVKUSDT #btc $btc #eth $eth 

https://t.co/kL0pND7Bpt https://t.co/t6VFJ5YOpZ","['tvk', 'expected', 'bounced', 'neckline', 'support', 'met', 'initial', 'target', 'zone', 'get', 'u', '25', 'gain', 'booked', 'partially', 'rest', 'hold', '0065', 'target', 'area', 'httpstcowiqxcggnov', 'join', 'telegram', 'tvk', 'tvkusdt', 'btc', 'btc', 'eth', 'eth', 'httpstcokl0pnd7bpt', 'httpstcot6vfj5yopz']"
11,2022-07-11 19:00:03+00:00,CoinCoinClan,TVK,1,"📣 DAILY PERFORMANCE RECAP 📣

Best 🔥:
- #SPARTA: 0.05444$ (+40%)
- #TVK: 0.05950$ (+39%)
- #CAW: 7.315e-8$ (+26%)

Worst 🐻‍❄️:
- #HAYYA: 0.001258$ (-40%)
- #KUBE: 0.6173$ (-38%)
- #AERGO: 0.1417$ (-18%)","['📣', 'daily', 'performance', 'recap', '📣', 'best', '🔥', 'sparta', '005444', '40', 'tvk', '005950', '39', 'caw', '7315e8', '26', 'worst', '🐻\u200d❄️', 'hayya', '0001258', '40', 'kube', '06173', '38', 'aergo', '01417', '18']"
12,2022-07-07 05:28:19+00:00,CryptoKoryo,TVK,1,"$TVK 
84% in 14 hours
A great Platinum signal.
#TVK #binance #bnb https://t.co/TFPpTjY0WW","['tvk', '84', '14', 'hour', 'great', 'platinum', 'signal', 'tvk', 'binance', 'bnb', 'httpstcotfpptjy0ww']"
13,2022-07-11 08:22:36+00:00,charles_obr,TVK,1,"#TVK show a strong first impulse, now pulling back to the 61,8% fib, theoritically could get to 16cents on this 3rd waves that matches with a meaningful resistance level https://t.co/nIUEEE2FsG","['tvk', 'show', 'strong', 'first', 'impulse', 'pulling', 'back', '618', 'fib', 'theoritically', 'could', 'get', '16cents', '3rd', 'wave', 'match', 'meaningful', 'resistance', 'level', 'httpstconiueee2fsg']"
14,2022-07-11 18:25:08+00:00,NatalDormer,TVK,1,"Bitcoin price is affecting the market heavily today #TVK #TVKBTC

#blockchain #blockchain #bitcoin #안호해독성 #BTC #crypto
Take part of our wonderful group now, PM ME!","['bitcoin', 'price', 'affecting', 'market', 'heavily', 'today', 'tvk', 'tvkbtc', 'blockchain', 'blockchain', 'bitcoin', '안호해독성', 'btc', 'crypto', 'take', 'part', 'wonderful', 'group', 'now', 'pm', 'me']"
15,2022-07-11 18:41:51+00:00,crypto_pump_1,TVK,1,"#TVK result

Hit 267🎯

1st target achieved in just 5 minutes ✅

Huge quick profit 35% using 3x leverage 💰🤑💰

👉 More quick profit signals available in premium channel. Hurry up 🏃‍♂👇 

☎️ Contact @APGLOBALS

Join our Telegram channel : https://t.co/pCgDsT4zdd
CT:11 J https://t.co/oTncK0iB3L","['tvk', 'result', 'hit', '267🎯', '1st', 'target', 'achieved', '5', 'minute', '✅', 'huge', 'quick', 'profit', '35', 'using', '3x', 'leverage', '💰🤑💰', '👉', 'quick', 'profit', 'signal', 'available', 'premium', 'channel', 'hurry', '🏃\u200d♂👇', '☎️', 'contact', 'apglobals', 'join', 'telegram', 'channel', 'httpstcopcgdst4zdd', 'ct11', 'j', 'httpstcootnck0ib3l']"
16,2022-07-11 18:41:11+00:00,crypto_pump_1,TVK,1,"#TVK proof 👆
Compare time according to my NewYork timezone in both screenshot

Join our Telegram channel : https://t.co/pCgDsT4zdd
CT:11 Jul 22 18:41:05 pm GMT https://t.co/6dnqefLjpT","['tvk', 'proof', '👆', 'compare', 'time', 'according', 'newyork', 'timezone', 'screenshot', 'join', 'telegram', 'channel', 'httpstcopcgdst4zdd', 'ct11', 'jul', '22', '184105', 'pm', 'gmt', 'httpstco6dnqefljpt']"
17,2022-07-11 10:07:20+00:00,artist201411,TVK,2,"#BlindGuardian #BloodOfTheElves #Metal
Click Download to save Blood Of The Elves - Blood Of The Elves mp3 youtube com
https://t.co/xUr1eXRl2

#tvk
#RockCity
#tvk_RockCity
#メタル
#2022年","['blindguardian', 'bloodoftheelves', 'metal', 'click', 'download', 'save', 'blood', 'elf', 'blood', 'elf', 'mp3', 'youtube', 'com', 'httpstcoxur1exrl2', 'tvk', 'rockcity', 'tvkrockcity', 'メタル', '2022年']"
